text,label
"Subject: Manufacturing question Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://worksite.com/repo/assembly.3mf",ham/cad/production queries
"Subject: Design revision Body: Design request: Attached design drawing attached urgent sample design parts regards specification. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://cadrepo.com/bracket_design.iges Required changes: Confirm file approval schedule please check fix schedule. Best, Taylor",ham/cad/design requests
Subject: Claim your free model Body: Free download.,spam
"Subject: Clarification for production Body: Hello, Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://example.com/repo/housing.3mf Attachment: production_notes.pdf",ham/cad/production queries
"Subject: Free CAD Software Body: Team,, Act now. Get it here: https://getfiles.net/free.3mf Unsubscribe here.",spam
"Subject: Free CAD Software Body: Congrats! You've been selected. Get it here: https://offers.example/free.iges Best, Sam",spam
"Subject: Status report Body: Hey, Schedule drawing urgent fix specification attached team dimension design sample regards regards prototype approval. Approval drawing confirm confirm prototype prototype dimension review project quote quote urgent prototype deliver. Attachment: specs.jpg Thank you, Alex",ham
Subject: Design request Body: Design request: Fix deliver note meeting parts attached project regards team please. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://fileshare.net/housing_design.dxf,ham/cad/design requests
Subject: Proposal submission Body: Regards design drawing deadline thanks urgent dimension sample parts. Please find the model: https://fileshare.net/repo/model.3mf,ham/cad
"Subject: Download now Body: Hi all, Congratulations! Free gift. Unsubscribe here. Thank you, Ravi",spam
Subject: Reminder Body: Production parts project regards file issue meeting quote review. Review project issue confirm urgent check urgent thanks review issue dimension production check issue specification. Please find the model: https://worksite.com/repo/component.dwg,ham/cad
"Subject: Manufacturing question Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://fileshare.net/repo/housing.iges Attachment: production_notes.pdf",ham/cad/production queries
"Subject: Part specification Body: Team,, Attached are the part specification documents with dimensions and tolerances. Specification file: https://files.example/repo/model.dwg Please ensure the surface finish and material are correct.",ham/cad/part specification documents
Subject: Invoice attached Body: Schedule quote production drawing check model quote please confirm sample deadline vendor. Issue team check vendor update design meeting file deliver please issue issue vendor issue. Attachment: report.jpg Let me know if you have any questions.,ham
Subject: Part specification Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://drive.company/repo/component.stl Please ensure the surface finish and material are correct. Attachment: specs.pdf,ham/cad/part specification documents
"Subject: Download now Body: Hi, Exclusive deal. Get it here: https://spamcad.com/free.stl Unsubscribe here.",spam
Subject: Download now Body: Limited time offer. Get it here: https://offers.example/free.dwg,spam
Subject: Free CAD Software Body: Act now.,spam
"Subject: Quick question Body: Schedule sample project file dimension regards model file file design. Cheers, Priya Parts model regards deliver specification deadline approval issue file. Confirm deliver project review sample approval quote file model attached attached. Note sample specification approval confirm project prototype thanks attached project deliver check please fix.",ham
Subject: Quote from supplier Body: Vendor submitted a proposal for supplying the following components. See proposal: https://designrepo.com/repo/model.step Vendor details: ACME Manufacturing Attachment: quote.xlsx,ham/cad/vendor proposals
Subject: You won! Body: Congratulations! Free gift. Get it here: https://spamcad.com/free.3mf Unsubscribe here.,spam
Subject: Claim your free model Body: Limited time offer. Get it here: https://getfiles.net/free.iges Unsubscribe here.,spam
Subject: Proposal submission Body: Schedule issue parts thanks file parts design meeting dimension meeting schedule urgent attached thanks. Please find the model: https://cadrepo.com/repo/assembly.step Attachment: drawings.jpg,ham/cad
Subject: Vendor proposal Body: Vendor submitted a proposal for supplying the following components. See proposal: https://example.com/repo/assembly.stl Vendor details: ACME Manufacturing,ham/cad/vendor proposals
"Subject: Clarification for production Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://worksite.com/repo/housing.3mf",ham/cad/production queries
Subject: Request for information Body: Production vendor team design note thanks dimension fix fix update fix check note prototype. Model model dimension deliver specification parts issue update team parts thanks specification please.,ham
Subject: Download now Body: Congratulations! Free gift. Get it here: https://getfiles.net/free.iges,spam
Subject: Proposal for parts Body: Vendor submitted a proposal for supplying the following components. See proposal: https://drive.company/repo/assembly.step Vendor details: ACME Manufacturing,ham/cad/vendor proposals
Subject: You won! Body: Earn money fast. Get it here: https://getfiles.net/free.dxf Unsubscribe here.,spam
"Subject: Production query Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://example.com/repo/housing.iges",ham/cad/production queries
Subject: Quote request Body: Parts fix review confirm parts deliver review team please. Please find the model: https://fileshare.net/repo/model.dxf,ham/cad
Subject: Meeting update Body: Vendor thanks regards urgent file deadline note dimension deadline approval. Attachment: archive.pdf,ham
"Subject: Invoice attached Body: Hi all, Approval please issue please review review dimension dimension parts note approval review note. Specification drawing vendor project regards design project urgent production confirm issue quote urgent vendor. Update deadline deliver model schedule schedule approval attached.",ham
"Subject: Quote from supplier Body: Vendor submitted a proposal for supplying the following components. See proposal: https://worksite.com/repo/housing.3mf Vendor details: Global CAD Supplies Best, Priya",ham/cad/vendor proposals
"Subject: Specs for part Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://example.com/repo/part.iges Please ensure the surface finish and material are correct. Attachment: specs.pdf Sincerely, Priya",ham/cad/part specification documents
Subject: Specification document Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://designrepo.com/repo/assembly.3mf Please ensure the surface finish and material are correct.,ham/cad/part specification documents
Subject: Quick question Body: Design schedule design urgent issue issue confirm drawing. File please parts file meeting urgent meeting quote confirm deliver. Dimension parts quote quote fix update issue check drawing approval regards specification. Please find the model: https://fileshare.net/repo/component.stl,ham/cad
Subject: Meeting update Body: Confirm sample quote parts dimension drawing approval specification design urgent approval meeting team. Review note urgent update fix model review deliver design issue regards project drawing. File deadline note deliver fix attached deadline quote drawing file design specification vendor deadline. Let me know if you have any questions.,ham
"Subject: Part specification Body: Dear John, Attached are the part specification documents with dimensions and tolerances. Specification file: https://files.example/repo/assembly.stl Please ensure the surface finish and material are correct. Attachment: specs.pdf Best, Ravi",ham/cad/part specification documents
"Subject: Claim your free model Body: Congrats! You've been selected. Get it here: https://offers.example/free.stl Best, Ravi",spam
"Subject: Specs for part Body: Team,, Attached are the part specification documents with dimensions and tolerances. Specification file: https://fileshare.net/repo/housing.stl Please ensure the surface finish and material are correct. Attachment: specs.pdf Thank you, Jordan",ham/cad/part specification documents
"Subject: Specification document Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://files.example/repo/widget.dxf Please ensure the surface finish and material are correct. Attachment: specs.pdf Regards, Priya",ham/cad/part specification documents
Subject: Invoice attached Body: File note specification attached confirm project model please urgent fix production project deliver schedule. Dimension update file parts update dimension meeting approval update.,ham
Subject: Urgent: please read Body: Update file design approval prototype please meeting file design vendor confirm attached schedule please. Please find the model: https://worksite.com/repo/model.step Specification production parts drawing update model production sample note production meeting check. Production production project specification schedule team prototype quote project sample check note fix thanks. Deliver check model parts meeting thanks design vendor model parts.,ham/cad
Subject: Design revision Body: Design request: Design parts specification meeting issue note deliver sample attached issue. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://files.example/component_design.stl,ham/cad/design requests
Subject: Please review Body: Review file sample regards schedule approval confirm dimension review dimension deliver update file update. Design production confirm confirm update deadline thanks specification design model. Vendor schedule note prototype sample team production design regards dimension. Please find the model: https://example.com/repo/model.stl,ham/cad
"Subject: Manufacturing question Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://worksite.com/repo/housing.dwg Urgent confirm vendor approval deliver confirm project file parts drawing prototype note issue production dimension. Dimension review urgent dimension prototype urgent sample update drawing attached sample please check. Attached model production note fix urgent specification issue project check approval please.",ham/cad/production queries
Subject: Follow up Body: Model project deliver update urgent deadline deadline design. Please find the model: https://drive.company/repo/component.dwg Attachment: specs.zip,ham/cad
"Subject: Vendor proposal Body: Dear team, Vendor submitted a proposal for supplying the following components. See proposal: https://designrepo.com/repo/component.iges Vendor details: ACME Manufacturing",ham/cad/vendor proposals
Subject: Schedule change Body: Approval schedule production design review issue confirm thanks file meeting. Issue schedule urgent note project model update prototype thanks prototype design check check issue. Thanks deliver production confirm team regards quote vendor check attached team.,ham
"Subject: Free CAD Software Body: Congrats! You've been selected. Get it here: https://spamcad.com/free.dwg Unsubscribe here. Regards, Priya",spam
Subject: Design request Body: Design request: Project thanks design approval approval meeting file meeting drawing confirm. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://worksite.com/part_design.iges Required changes: Project sample quote dimension approval model update sample.,ham/cad/design requests
Subject: Design request Body: Design request: Confirm approval team file attached project quote project fix fix. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://fileshare.net/component_design.step Required changes: Confirm update fix fix fix check thanks note.,ham/cad/design requests
Subject: Specs for part Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://example.com/repo/model.iges Please ensure the surface finish and material are correct. Attachment: specs.pdf,ham/cad/part specification documents
Subject: Please review design Body: Design request: Deliver note drawing check specification regards fix urgent attached specification. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://files.example/assembly_design.iges,ham/cad/design requests
Subject: Urgent: please read Body: Sample thanks attached update attached urgent specification vendor attached thanks. Thanks urgent team parts model confirm issue urgent attached sample quote. Please attached prototype deliver design sample model review check.,ham
Subject: Free CAD Software Body: Congratulations! Free gift. Unsubscribe here.,spam
Subject: Quick question Body: Urgent attached model production regards fix dimension approval dimension. Please find the model: https://designrepo.com/repo/model.iges,ham/cad
"Subject: Production query Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://cadrepo.com/repo/model.dxf",ham/cad/production queries
Subject: Quote request Body: Design drawing project regards prototype regards urgent deliver sample deadline dimension thanks urgent. Let me know if you have any questions.,ham
"Subject: Downtime notification Body: Team,, Approval update parts deadline project confirm drawing thanks specification meeting thanks production attached. File issue design approval deadline project quote model.",ham
"Subject: Production query Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://example.com/repo/part.step Attachment: production_notes.pdf",ham/cad/production queries
"Subject: Specs for part Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://files.example/repo/part.3mf Please ensure the surface finish and material are correct. Cheers, Priya",ham/cad/part specification documents
"Subject: You won! Body: Exclusive deal. Get it here: https://spamcad.com/free.iges Thank you, Taylor",spam
"Subject: Part specification Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://example.com/repo/assembly.iges Please ensure the surface finish and material are correct. Attachment: specs.pdf Cheers, Ravi",ham/cad/part specification documents
"Subject: Production query Body: Team,, Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://cadrepo.com/repo/component.dxf Attachment: production_notes.pdf",ham/cad/production queries
"Subject: Reminder Body: Thanks attached team confirm meeting fix note check. Deadline approval attached attached quote drawing team schedule review approval schedule vendor file attached. Please find the model: https://designrepo.com/repo/component.stl Regards, Jordan",ham/cad
"Subject: Vendor proposal Body: Hello, Vendor submitted a proposal for supplying the following components. See proposal: https://worksite.com/repo/component.dxf Vendor details: Precision Parts Ltd Attachment: quote.xlsx Cheers, Ravi",ham/cad/vendor proposals
Subject: Specs for part Body: Attached are the part specification documents with dimensions and tolerances. Specification file: https://worksite.com/repo/assembly.step Please ensure the surface finish and material are correct. Attachment: specs.pdf,ham/cad/part specification documents
Subject: Meeting update Body: Issue deadline urgent dimension note check design prototype deliver issue. Deadline update prototype schedule update team sample parts approval quote production deadline deadline update prototype. Check please quote fix confirm thanks parts issue parts model. Attachment: specs.pdf,ham
"Subject: Free CAD Software Body: Congrats! You've been selected. Get it here: https://spamcad.com/free.iges Thanks, Ravi",spam
Subject: Please review design Body: Design request: Parts urgent note update review approval deliver urgent file approval. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://example.com/assembly_design.3mf Required changes: Issue quote please specification please file attached drawing.,ham/cad/design requests
Subject: Design request Body: Design request: Project production schedule deliver quote check regards approval note note. Could you review the attached design and provide feedback on tolerances and fit? Model link: https://files.example/bracket_design.dwg,ham/cad/design requests
Subject: Download now Body: Limited time offer. Get it here: https://getfiles.net/free.iges,spam
"Subject: Production query Body: Dear team, Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://example.com/repo/bracket.3mf",ham/cad/production queries
"Subject: Specs for part Body: Team,, Attached are the part specification documents with dimensions and tolerances. Specification file: https://fileshare.net/repo/part.dxf Please ensure the surface finish and material are correct. Attachment: specs.pdf",ham/cad/part specification documents
"Subject: Quick question Body: Schedule sample please please update confirm deadline parts. Attachment: drawings.dwg Sincerely, Taylor",ham
Subject: You won! Body: Earn money fast. Get it here: https://getfiles.net/free.step,spam
Subject: Design review Body: Production deliver approval approval confirm vendor deadline attached thanks vendor team review. Thanks note project thanks file prototype specification project project dimension model. File note deadline thanks confirm project confirm regards sample attached quote approval urgent note please. Please find the model: https://drive.company/repo/assembly.iges,ham/cad
"Subject: Specs for part Body: Greetings, Attached are the part specification documents with dimensions and tolerances. Specification file: https://fileshare.net/repo/component.dxf Please ensure the surface finish and material are correct. Check check review production quote vendor regards meeting confirm check regards prototype vendor drawing team. File drawing drawing project file schedule approval check team design issue fix issue update. Update urgent confirm dimension please check deliver quote check schedule. Note dimension production schedule specification update approval deliver urgent.",ham/cad/part specification documents
Subject: Quote from supplier Body: Vendor submitted a proposal for supplying the following components. See proposal: https://cadrepo.com/repo/housing.stl Vendor details: Global CAD Supplies,ham/cad/vendor proposals
Subject: Quote from supplier Body: Vendor submitted a proposal for supplying the following components. See proposal: https://fileshare.net/repo/model.iges Vendor details: ACME Manufacturing Attachment: quote.xlsx,ham/cad/vendor proposals
Subject: Download now Body: Exclusive deal. Get it here: https://getfiles.net/free.step Unsubscribe here.,spam
"Subject: Follow up Body: Hi all, Approval note vendor drawing approval prototype confirm update regards please thanks design. Thanks drawing production deadline urgent project team model file. Note drawing review meeting thanks production team schedule urgent file thanks dimension. Please find the model: https://worksite.com/repo/widget.dxf Check prototype design specification model confirm vendor deliver issue meeting. Sample issue design regards check team project file meeting note deliver parts.",ham/cad
Subject: Vendor proposal Body: Vendor submitted a proposal for supplying the following components. See proposal: https://worksite.com/repo/model.dxf Vendor details: ACME Manufacturing Attachment: quote.xlsx,ham/cad/vendor proposals
"Subject: Delivery confirmation Body: Production team drawing quote review please dimension confirm urgent. Regards attached dimension dimension meeting regards sample sample please vendor team quote confirm model. Attachment: images.step Cheers, Sam",ham
"Subject: Production query Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://cadrepo.com/repo/part.dwg Attachment: production_notes.pdf",ham/cad/production queries
"Subject: Proposal for parts Body: Vendor submitted a proposal for supplying the following components. See proposal: https://files.example/repo/bracket.iges Vendor details: Global CAD Supplies Thanks, Jordan",ham/cad/vendor proposals
"Subject: Production query Body: Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://drive.company/repo/part.iges Attachment: production_notes.pdf Thank you, Jordan",ham/cad/production queries
Subject: Quote from supplier Body: Vendor submitted a proposal for supplying the following components. See proposal: https://files.example/repo/model.dxf Vendor details: Precision Parts Ltd Attachment: quote.xlsx,ham/cad/vendor proposals
"Subject: Clarification for production Body: Dear team, Production query regarding the attached assembly. Please confirm finish, tolerances, and critical dimensions. Reference file: https://worksite.com/repo/component.stl",ham/cad/production queries
